id,Month,Wellington,'Enrolments,'Enrolments,GST,'Gross,'Est
1,1993-01-01,172,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
2,1993-02-01,178,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
3,1993-03-01,181,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
4,1993-04-01,176,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
5,1993-05-01,183,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
6,1993-06-01,180,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
7,1993-07-01,180,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
8,1993-08-01,174,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
9,1993-09-01,177,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
10,1993-10-01,175,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
11,1993-11-01,173,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
12,1993-12-01,184,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
13,1994-01-01,183,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
14,1994-02-01,185,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
15,1994-03-01,185,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
16,1994-04-01,185,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
17,1994-05-01,179,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
18,1994-06-01,182,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
19,1994-07-01,181,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
20,1994-08-01,185,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
21,1994-09-01,188,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
22,1994-10-01,182,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
23,1994-11-01,189,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
24,1994-12-01,187,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
25,1995-01-01,190,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
26,1995-02-01,191,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
27,1995-03-01,192,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
28,1995-04-01,188,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
29,1995-05-01,195,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
30,1995-06-01,194,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
31,1995-07-01,193,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
32,1995-08-01,192,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
33,1995-09-01,196,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
34,1995-10-01,195,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
35,1995-11-01,198,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
36,1995-12-01,204,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
37,1996-01-01,205,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
38,1996-02-01,208,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
39,1996-03-01,206,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
40,1996-04-01,204,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
41,1996-05-01,212,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
42,1996-06-01,210,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
43,1996-07-01,209,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
44,1996-08-01,212,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
45,1996-09-01,209,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
46,1996-10-01,216,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
47,1996-11-01,219,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
48,1996-12-01,225,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
49,1997-01-01,215,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
50,1997-02-01,222,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
51,1997-03-01,221,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
52,1997-04-01,224,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
53,1997-05-01,221,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
54,1997-06-01,227,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
55,1997-07-01,222,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
56,1997-08-01,222,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
57,1997-09-01,224,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
58,1997-10-01,219,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
59,1997-11-01,226,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
60,1997-12-01,227,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
61,1998-01-01,228,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
62,1998-02-01,230,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
63,1998-03-01,236,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
64,1998-04-01,232,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
65,1998-05-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
66,1998-06-01,228,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
67,1998-07-01,234,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
68,1998-08-01,225,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
69,1998-09-01,229,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
70,1998-10-01,230,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
71,1998-11-01,228,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
72,1998-12-01,227,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
73,1999-01-01,236,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
74,1999-02-01,241,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
75,1999-03-01,234,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
76,1999-04-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
77,1999-05-01,233,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
78,1999-06-01,229,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
79,1999-07-01,236,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
80,1999-08-01,233,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
81,1999-09-01,237,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
82,1999-10-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
83,1999-11-01,244,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
84,1999-12-01,233,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
85,2000-01-01,243,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
86,2000-02-01,249,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
87,2000-03-01,241,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
88,2000-04-01,224,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
89,2000-05-01,230,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
90,2000-06-01,239,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
91,2000-07-01,238,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
92,2000-08-01,234,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
93,2000-09-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
94,2000-10-01,239,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
95,2000-11-01,231,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
96,2000-12-01,238,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
97,2001-01-01,241,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
98,2001-02-01,251,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
99,2001-03-01,246,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
100,2001-04-01,244,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
101,2001-05-01,238,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
102,2001-06-01,224,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
103,2001-07-01,238,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
104,2001-08-01,240,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
105,2001-09-01,242,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
106,2001-10-01,236,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
107,2001-11-01,244,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
108,2001-12-01,240,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
109,2002-01-01,250,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
110,2002-02-01,260,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
111,2002-03-01,253,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
112,2002-04-01,227,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
113,2002-05-01,247,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
114,2002-06-01,244,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
115,2002-07-01,248,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
116,2002-08-01,245,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
117,2002-09-01,246,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
118,2002-10-01,242,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
119,2002-11-01,253,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
120,2002-12-01,251,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
121,2003-01-01,256,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
122,2003-02-01,270,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
123,2003-03-01,269,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
124,2003-04-01,257,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
125,2003-05-01,243,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
126,2003-06-01,257,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
127,2003-07-01,257,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
