University,Year,Total Enrolments
University of Auckland,2008,38550
University of Auckland,2009,39935
University of Auckland,2010,40975
University of Auckland,2011,40380
University of Auckland,2012,40785
University of Auckland,2013,41365
University of Auckland,2014,41955
University of Auckland,2015,42100
University of Auckland,2016,41865
University of Waikato,2008,12185
University of Waikato,2009,13225
University of Waikato,2010,12840
University of Waikato,2011,12820
University of Waikato,2012,12885
University of Waikato,2013,12695
University of Waikato,2014,12520
University of Waikato,2015,12560
University of Waikato,2016,12390
Massey University,2008,33620
Massey University,2009,35610
Massey University,2010,34425
Massey University,2011,33215
Massey University,2012,33175
Massey University,2013,32135
Massey University,2014,31225
Massey University,2015,31205
Massey University,2016,31170
Victoria University of Wellington,2008,21930
Victoria University of Wellington,2009,22925
Victoria University of Wellington,2010,22880
Victoria University of Wellington,2011,22560
Victoria University of Wellington,2012,21195
Victoria University of Wellington,2013,21480
Victoria University of Wellington,2014,21190
Victoria University of Wellington,2015,21450
Victoria University of Wellington,2016,21950
University of Canterbury,2008,17375
University of Canterbury,2009,18320
University of Canterbury,2010,18495
University of Canterbury,2011,16190
University of Canterbury,2012,15545
University of Canterbury,2013,14645
University of Canterbury,2014,14465
University of Canterbury,2015,14570
University of Canterbury,2016,15305
Lincoln University,2008,9470
Lincoln University,2009,9075
Lincoln University,2010,8655
Lincoln University,2011,5745
Lincoln University,2012,6800
Lincoln University,2013,5850
Lincoln University,2014,4485
Lincoln University,2015,4605
Lincoln University,2016,4975
University of Otago,2008,20645
University of Otago,2009,21345
University of Otago,2010,21950
University of Otago,2011,21640
University of Otago,2012,21240
University of Otago,2013,20965
University of Otago,2014,20935
University of Otago,2015,20690
University of Otago,2016,20895
Auckland University of Technology,2008,23245
Auckland University of Technology,2009,24865
Auckland University of Technology,2010,26035
Auckland University of Technology,2011,25150
Auckland University of Technology,2012,25585
Auckland University of Technology,2013,25920
Auckland University of Technology,2014,26290
Auckland University of Technology,2015,26670
Auckland University of Technology,2016,27055
Total,2008,174755
Total,2009,182865
Total,2010,184225
Total,2011,175690
Total,2012,175325
Total,2013,173120
Total,2014,171255
Total,2015,172055
Total,2016,173880
