Months from uni,Rent,Victoria Num,Massey Num,GDP,Tax,Orange Prices,Births,Deaths,Tourism Act,Tourism Adj
0,364,21930,33720,25362000000,1918000000,3,64341,29187,,
1,350,21930,33720,25362000000,1918000000,2.67,64341,29187,,
2,295,21930,33720,25362000000,1918000000,2.66,64341,29187,,
3,344,21930,33720,25362000000,1918000000,3.43,64341,29187,142413,208460
4,350,21930,33720,25362000000,1918000000,3.19,64341,29187,175738,206260
5,339,21930,33720,25362000000,1918000000,2.6,64341,29187,162485,204390
6,336,21930,33720,25362000000,1918000000,2.73,64341,29187,157704,192270
5,339,21930,33720,25362000000,1918000000,3.32,64341,29187,173938,195860
4,347,21930,33720,25362000000,1918000000,3.62,64341,29187,219313,200440
3,354,21930,33720,25362000000,1918000000,3.71,64341,29187,322207,203390
2,346,21930,33720,25362000000,1918000000,4.48,64341,29187,244030,193880
1,364,21930,33720,25362000000,1918000000,4.34,64341,29187,256559,204660
0,362,22925,35610,26093000000,1937000000,4.06,62541,28962,226461,203060
1,353,22925,35610,26093000000,1937000000,4.25,62541,28962,195883,207020
2,367,22925,35610,26093000000,1937000000,4.21,62541,28962,141916,208060
3,347,22925,35610,26093000000,1937000000,3.57,62541,28962,135162,198260
4,343,22925,35610,26093000000,1937000000,3.21,62541,28962,176198,207390
5,335,22925,35610,26093000000,1937000000,2.7,62541,28962,161100,202390
6,351,22925,35610,26093000000,1937000000,2.62,62541,28962,172425,209150
5,345,22925,35610,26093000000,1937000000,2.72,62541,28962,187372,210430
4,348,22925,35610,26093000000,1937000000,2.96,62541,28962,219939,203830
3,361,22925,35610,26093000000,1937000000,3.24,62541,28962,341337,210490
2,363,22925,35610,26093000000,1937000000,3.47,62541,28962,256652,209810
1,396,22925,35610,26093000000,1937000000,3.25,62541,28962,267855,208800
0,362,22880,34425,27275000000,1998000000,3.21,63897,28437,243263,210400
1,375,22880,34425,27275000000,1998000000,3.18,63897,28437,187962,207320
2,366,22880,34425,27275000000,1998000000,3.45,63897,28437,141336,209490
3,351,22880,34425,27275000000,1998000000,3.4,63897,28437,145825,213400
4,350,22880,34425,27275000000,1998000000,3.11,63897,28437,182904,215530
5,358,22880,34425,27275000000,1998000000,2.61,63897,28437,168081,209900
6,355,22880,34425,27275000000,1998000000,2.52,63897,28437,174157,209170
5,348,22880,34425,27275000000,1998000000,2.84,63897,28437,184898,208550
4,374,22880,34425,27275000000,1998000000,3.58,63897,28437,226455,212110
3,364,22880,34425,27275000000,1998000000,3.76,63897,28437,345656,210430
2,371,22880,34425,27275000000,1998000000,3.72,63897,28437,265553,217860
1,384,22880,34425,27275000000,1998000000,3.51,63897,28437,268259,210960
0,393,22560,33215,28022000000,2203000000,2.98,61404,30081,215553,194560
1,364,22560,33215,28022000000,2203000000,3.23,61404,30081,197777,207900
2,361,22560,33215,28022000000,2203000000,3.54,61404,30081,140741,209660
3,357,22560,33215,28022000000,2203000000,3.2,61404,30081,131269,187250
4,345,22560,33215,28022000000,2203000000,2.65,61404,30081,176084,212600
5,359,22560,33215,28022000000,2203000000,2.36,61404,30081,175909,220340
6,361,22560,33215,28022000000,2203000000,2.64,61404,30081,219940,262520
5,354,22560,33215,28022000000,2203000000,2.89,61404,30081,215902,246670
4,361,22560,33215,28022000000,2203000000,2.97,61404,30081,230292,215700
3,373,22560,33215,28022000000,2203000000,3.42,61404,30081,364165,219060
2,378,22560,33215,28022000000,2203000000,3.28,61404,30081,266839,213150
1,399,22560,33215,28022000000,2203000000,3.15,61404,30081,259083,204240
0,395,21195,33175,29686000000,2491000000,2.94,61179,30099,239929,210830
1,383,21195,33175,29686000000,2491000000,3.16,61179,30099,195668,209910
2,375,21195,33175,29686000000,2491000000,3.32,61179,30099,140841,209350
3,359,21195,33175,29686000000,2491000000,3.31,61179,30099,151074,216430
4,353,21195,33175,29686000000,2491000000,2.72,61179,30099,173539,211500
5,361,21195,33175,29686000000,2491000000,2.54,61179,30099,178298,220530
6,350,21195,33175,29686000000,2491000000,2.5,61179,30099,179069,214360
5,365,21195,33175,29686000000,2491000000,2.57,61179,30099,184200,214130
4,365,21195,33175,29686000000,2491000000,2.85,61179,30099,232119,214220
3,374,21195,33175,29686000000,2491000000,3.31,61179,30099,363959,220590
2,386,21195,33175,29686000000,2491000000,2.99,61179,30099,260637,214400
1,398,21195,33175,29686000000,2491000000,2.78,61179,30099,281233,219900
0,406,21480,32135,30096000000,2558000000,2.83,58719,29568,270740,225100
1,393,21480,32135,30096000000,2558000000,2.75,58719,29568,200583,228040
2,382,21480,32135,30096000000,2558000000,3.18,58719,29568,153034,226340
3,374,21480,32135,30096000000,2558000000,3.31,58719,29568,159485,225450
4,366,21480,32135,30096000000,2558000000,2.69,58719,29568,183718,229830
5,371,21480,32135,30096000000,2558000000,2.69,58719,29568,189284,234150
6,367,21480,32135,30096000000,2558000000,2.68,58719,29568,191056,231820
5,366,21480,32135,30096000000,2558000000,2.76,58719,29568,194973,226080
4,368,21480,32135,30096000000,2558000000,3.1,58719,29568,251060,230760
3,377,21480,32135,30096000000,2558000000,3.51,58719,29568,381892,232500
2,401,21480,32135,30096000000,2558000000,3.47,58719,29568,292446,237210
1,422,21480,32135,30096000000,2558000000,3.48,58719,29568,301165,237120
0,415,21480,32135,30096000000,2558000000,3.63,58719,29568,253561,228110
1,392,21190,31225,31416000000,2605000000,3.88,57243,31062,224194,233290
2,392,21190,31225,31416000000,2605000000,3.79,57243,31062,161355,235860
3,384,21190,31225,31416000000,2605000000,3.45,57243,31062,162122,237200
4,371,21190,31225,31416000000,2605000000,3.02,57243,31062,196856,239860
5,375,21190,31225,31416000000,2605000000,2.36,57243,31062,188849,236910
6,375,21190,31225,31416000000,2605000000,2.43,57243,31062,193329,236910
5,377,21190,31225,31416000000,2605000000,2.52,57243,31062,210597,244770
4,374,21190,31225,31416000000,2605000000,2.62,57243,31062,270408,245880
3,404,21190,31225,31416000000,2605000000,3.09,57243,31062,402518,248300
2,406,21190,31225,31416000000,2605000000,3.51,57243,31062,302432,246190
1,420,21190,31225,31416000000,2605000000,3.63,57243,31062,343457,265010
0,438,21450,31205,32754000000,2741000000,3.6,61038,31608,291784,251910
1,410,21450,31205,32754000000,2741000000,3.67,61038,31608,237966,255350
2,389,21450,31205,32754000000,2741000000,3.56,61038,31608,176697,256820
3,405,21450,31205,32754000000,2741000000,3.57,61038,31608,176961,260520
4,384,21450,31205,32754000000,2741000000,3.02,61038,31608,207984,254360
5,391,21450,31205,32754000000,2741000000,2.81,61038,31608,202879,260500
6,379,21450,31205,32754000000,2741000000,2.86,61038,31608,216984,267280
5,376,21450,31205,32754000000,2741000000,2.75,61038,31608,229379,265280
4,399,21450,31205,32754000000,2741000000,3.11,61038,31608,300521,272760
3,404,21450,31205,32754000000,2741000000,3.43,61038,31608,444883,273120
2,409,21450,31205,32754000000,2741000000,3.9,61038,31608,343446,279230
1,450,21450,31205,32754000000,2741000000,3.94,61038,31608,373376,278270
0,448,21950,31170,34027000000,2882000000,3.85,59430,31179,344387,284750
1,432,21950,31170,34027000000,2882000000,3.86,59430,31179,256685,285200
2,411,21950,31170,34027000000,2882000000,4,59430,31179,193643,282740
3,410,21950,31170,34027000000,2882000000,3.65,59430,31179,196223,284680
4,407,21950,31170,34027000000,2882000000,3.07,59430,31179,237872,294130
5,408,21950,31170,34027000000,2882000000,2.76,59430,31179,221181,290810
6,396,21950,31170,34027000000,2882000000,2.56,59430,31179,245089,299160
5,405,21950,31170,34027000000,2882000000,2.81,59430,31179,260246,303020
4,417,21950,31170,34027000000,2882000000,2.91,59430,31179,333598,301440
3,454,21950,31170,34027000000,2882000000,3.47,59430,31179,494193,301840
